parallax,parallax_error,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,target_id,g_mag_error,bp_mag_error,bp-g,bp-g error,absolute_G_mag,absolute_G_mag_error,Type,bp_g_ZZ_Cet,abs_G_ZZ_Cet,bp_g_V777_Her,abs_G_V777_Her,bp_g_GW_Vir,abs_G_GW_Vir,bp_g_Hot_DQV,abs_G_Hot_DQV,bp_g_ELM_DAV,abs_G_ELM_DAV,bp_g_Hot_DAV,abs_G_Hot_DAV
0.774781769,0.333138356,417.7524093,1.20972963,19.136068,415.3662751,10.13489206,18.80531,SDSS J075415.11+085232.1,0.003623541,0.02653524,-0.330758,0.026781505,8.581964965,0.933690266,GW Vir,,,,,,,,,,,,
1.126776293,0.129478637,1409.300012,2.015003116,17.815857,1222.820427,7.296395883,17.632982,SDSS J034917.40-005919.2,0.002377191,0.006629517,-0.182875,0.007042836,8.075045505,0.249536707,GW Vir,,,,,,,,,,,,
3.077859913,0.321894444,329.4412014,1.175962698,19.39392,315.1009781,11.85006776,19.105265,SDSS J142625.71+575218.3,0.004274067,0.040865415,-0.288655,0.041088317,11.83516425,0.227141163,Hot DQV,,,,,,,,,,,,
5.02897452,0.242370622,1216.925684,3.132423958,17.975206,1070.361562,18.88304868,17.777561,SDSS J220029.09-074121.6,0.003324808,0.019210021,-0.197645,0.019495621,11.48260318,0.104706566,Hot DQV,,,,,,,,,,,,
2.764408796,0.378760784,371.7052749,1.339585427,19.262869,348.4760594,12.9909431,18.995956,SDSS J234843.31-094245.3,0.004307904,0.040509517,-0.266913,0.040737931,11.47088033,0.297551797,Hot DQV,,,,,,,,,,,,
3.152125017,0.434215304,503.4541646,2.06177571,18.933466,470.6493914,20.4559642,18.669645,SDSS J133710.19-002643.6,0.004797899,0.047221875,-0.263821,0.04746499,11.42648317,0.299165746,Hot DQV,,,,,,,,,,,,
2.826207224,0.306007558,462.8947538,1.692987607,19.02466,409.7793463,9.230575163,18.820013,SDSS J010647.93+151327.9,0.004360758,0.024502961,-0.204647,0.024887975,11.28068001,0.23515659,Hot DQV,,,,,,,,,,,,
6.317219319,0.405638194,410.4517884,0.918589093,19.15521,375.6334411,6.549599338,18.914478,WD 1150+012,0.003024425,0.018987338,-0.240732,0.019226704,13.15783977,0.139466321,Hot DQV,,,,,,,,,,,,
1.202941077,0.205597602,515.0629959,2.850399326,18.908714,355.543721,10.46675414,18.974155,SDSS J184037.78+642312.3,0.006273772,0.032001095,0.065441,0.032610279,9.309935775,0.371184684,ELM DAV,,,,,,,,,,,,
2.60943964,0.077374898,5423.963428,6.569391182,16.352573,3796.987425,15.65544035,16.40279,SDSS J111215.82+111745.0,0.002229377,0.004691469,0.050217,0.005194228,8.435309278,0.064426912,ELM DAV,,,,,,,,,,,,
2.776709409,0.119531176,1812.569907,5.143807294,17.54263,1284.984872,9.618685374,17.579144,SDSS J151826.68+065813.2,0.003569056,0.008248867,0.036514,0.008987879,9.76028216,0.093545177,ELM DAV,,,,,,,,,,,,
0.21291576,0.07260954,5202.76041,2.908300122,16.397781,3593.714994,13.71293918,16.462528,SDSS J161431.28+191219.4,0.001899613,0.004374071,0.064747,0.004768755,3.03882004,0.740528235,ELM DAV,,,,,,,,,,,,
0.259857573,0.098274571,3480.457866,3.151618657,16.834274,2241.69317,8.444673242,16.974947,SDSS J222859.93+362359.6,0.002051112,0.004323982,0.140673,0.0047858,3.907950889,0.821223652,ELM DAV,,,,,,,,,,,,
9.343095904,0.142454074,28296.99944,21.25607851,14.559014,24704.95915,295.833263,14.369428,WD 1017-138,0.001976233,0.013079613,-0.189586,0.013228067,9.411468034,0.033167342,Hot DAV,,,,,,,,,,,,
1.79562186,0.213426576,1158.367483,4.595030625,18.02875,1038.447662,30.74914501,17.810427,SDSS J023520.02-093456.3,0.00466889,0.032187663,-0.218323,0.032524517,9.299824419,0.258142181,Hot DAV,,,,,,,,,,,,
1.509767413,0.335825013,477.1905217,1.873418714,18.991636,383.552591,16.07236923,18.891827,SDSS J010415.99+144857.4,0.004627957,0.045529221,-0.099809,0.045763828,9.886186236,0.483033491,Hot DAV,,,,,,,,,,,,
